 ICs: , delta0=0 , phi0=0.5236 , phid=0 , Nonlinear EOM
 success, balance_score, k1, k2, k3, r*Q=R,e1,e2,e3
 0,817.05,13.053,2.9928,-5.0917,0.1,-4.403,-4.3152,-0.12649
0,60.87,13.075,2.9977,-5.0928,0.11233,-4.4055,-4.3124,-0.13408
0,31.156,13.098,3.0029,-5.0941,0.12619,-4.4082,-4.3094,-0.14211
0,54.472,13.123,3.0084,-5.0954,0.14175,-4.411,-4.3063,-0.15064
0,40.639,13.149,3.0142,-5.0967,0.15923,-4.4139,-4.3029,-0.15967
0,44.493,13.176,3.0203,-5.0982,0.17886,-4.417,-4.2994,-0.16925
1,18.489,13.205,3.0268,-5.0997,0.20092,-4.4203,-4.2956,-0.17941
1,16.736,13.236,3.0337,-5.1013,0.2257,-4.4237,-4.2916,-0.19018
1,15.935,13.269,3.041,-5.103,0.25354,-4.4274,-4.2873,-0.2016
1,15.369,13.303,3.0486,-5.1047,0.2848,-4.4313,-4.2827,-0.21372
1,14.912,13.34,3.0567,-5.1066,0.31993,-4.4353,-4.2778,-0.22656
1,14.518,13.379,3.0653,-5.1086,0.35938,-4.4396,-4.2726,-0.24019
1,14.167,13.42,3.0744,-5.1107,0.4037,-4.4441,-4.2671,-0.25464
1,13.844,13.463,3.0839,-5.1128,0.45349,-4.4489,-4.2612,-0.26997
1,13.544,13.51,3.094,-5.1151,0.50941,-4.4539,-4.2549,-0.28623
1,13.265,13.558,3.1047,-5.1176,0.57224,-4.4592,-4.2481,-0.30349
1,13.004,13.61,3.116,-5.1201,0.64281,-4.4648,-4.2409,-0.3218
1,12.753,13.665,3.1279,-5.1228,0.72208,-4.4707,-4.2332,-0.34124
1,12.512,13.723,3.1404,-5.1256,0.81113,-4.4769,-4.2249,-0.36188
1,12.278,13.784,3.1537,-5.1286,0.91116,-4.4833,-4.2161,-0.38379
1,12.051,13.849,3.1677,-5.1317,1.0235,-4.4902,-4.2066,-0.40706
1,11.831,13.917,3.1824,-5.1349,1.1498,-4.4974,-4.1965,-0.43179
1,11.617,13.99,3.198,-5.1383,1.2915,-4.5049,-4.1856,-0.45806
1,11.408,14.067,3.2144,-5.1419,1.4508,-4.5128,-4.1739,-0.48599
1,11.205,14.149,3.2317,-5.1456,1.6298,-4.5211,-4.1613,-0.51569
1,11.008,14.235,3.2499,-5.1496,1.8307,-4.5299,-4.1478,-0.5473
1,10.816,14.326,3.2691,-5.1537,2.0565,-4.539,-4.1332,-0.58094
1,10.629,14.423,3.2894,-5.1579,2.3101,-4.5486,-4.1174,-0.61677
1,10.447,14.525,3.3107,-5.1624,2.595,-4.5587,-4.1004,-0.65497
1,10.27,14.633,3.3331,-5.1671,2.9151,-4.5692,-4.0819,-0.69572
1,10.098,14.748,3.3567,-5.172,3.2745,-4.5802,-4.0619,-0.73923
1,9.9372,14.869,3.3816,-5.1771,3.6784,-4.5917,-4.0401,-0.78573
1,9.7804,14.997,3.4077,-5.1824,4.132,-4.6037,-4.0164,-0.83551
1,9.6278,15.132,3.4351,-5.1879,4.6416,-4.6163,-3.9904,-0.88887
1,9.4796,15.276,3.464,-5.1936,5.214,-4.6294,-3.9619,-0.94616
1,9.3357,15.427,3.4944,-5.1996,5.857,-4.643,-3.9306,-1.0078
1,9.1962,15.588,3.5262,-5.2058,6.5793,-4.6573,-3.896,-1.0744
1,9.0609,15.757,3.5597,-5.2122,7.3907,-4.6721,-3.8575,-1.1464
1,8.9298,15.937,3.5948,-5.2189,8.3022,-4.6875,-3.8145,-1.2247
1,8.8031,16.126,3.6316,-5.2258,9.326,-4.7036,-3.7661,-1.3102
1,8.6826,16.327,3.6703,-5.233,10.476,-4.7202,-3.7109,-1.4043
1,8.5697,16.54,3.7108,-5.2404,11.768,-4.7375,-3.6473,-1.5088
1,8.4607,16.764,3.7532,-5.248,13.219,-4.7554,-3.5727,-1.6264
1,8.3557,17.001,3.7977,-5.2559,14.85,-4.774,-3.4828,-1.7614
1,8.2547,17.252,3.8443,-5.264,16.681,-4.7932,-3.3698,-1.9217
1,8.1577,17.518,3.8931,-5.2724,18.738,-4.8131,-3.2154,-2.1258
1,8.0646,17.799,3.9441,-5.281,21.049,-4.8336,-2.9377,-2.4556
1,7.9756,18.095,3.9975,-5.2898,23.645,-4.8547,-2.7239+0.43867i,-2.7239-0.43867i
1,7.8914,18.409,4.0533,-5.2989,26.561,-4.8766,-2.7526+0.67478i,-2.7526-0.67478i
1,7.8137,18.741,4.1116,-5.3082,29.836,-4.899,-2.7826+0.85506i,-2.7826-0.85506i
1,7.7398,19.092,4.1725,-5.3178,33.516,-4.9221,-2.814+1.0102i,-2.814-1.0102i
1,7.6695,19.463,4.2361,-5.3276,37.649,-4.9458,-2.8469+1.1506i,-2.8469-1.1506i
1,7.603,19.855,4.3026,-5.3375,42.292,-4.9701,-2.8814+1.2814i,-2.8814-1.2814i
1,7.5403,20.27,4.3719,-5.3477,47.508,-4.9951,-2.9175+1.4055i,-2.9175-1.4055i
1,7.4814,20.709,4.4442,-5.3581,53.367,-5.0206,-2.9553+1.5248i,-2.9553-1.5248i
1,7.4264,21.173,4.5195,-5.3687,59.948,-5.0466,-2.9948+1.6405i,-2.9948-1.6405i
1,7.375,21.663,4.5981,-5.3795,67.342,-5.0732,-3.0361+1.7536i,-3.0361-1.7536i
1,7.3271,22.182,4.68,-5.3905,75.646,-5.1003,-3.0794+1.8648i,-3.0794-1.8648i
1,7.2828,22.731,4.7652,-5.4016,84.975,-5.1278,-3.1246+1.9746i,-3.1246-1.9746i
1,7.2423,23.311,4.8539,-5.4128,95.455,-5.1558,-3.1719+2.0834i,-3.1719-2.0834i
1,7.2056,23.924,4.9463,-5.4243,107.23,-5.1841,-3.2214+2.1916i,-3.2214-2.1916i
1,7.1729,24.573,5.0424,-5.4358,120.45,-5.2128,-3.273+2.2996i,-3.273-2.2996i
1,7.1444,25.259,5.1423,-5.4475,135.3,-5.2418,-3.327+2.4075i,-3.327-2.4075i
1,7.1203,25.985,5.2461,-5.4593,151.99,-5.2711,-3.3834+2.5155i,-3.3834-2.5155i
1,7.0915,26.753,5.3541,-5.4712,170.74,-3.4423+2.624i,-3.4423-2.624i,-5.3005
1,7.0664,27.565,5.4662,-5.4831,191.79,-3.5038+2.7331i,-3.5038-2.7331i,-5.3301
1,7.0456,28.424,5.5826,-5.4952,215.44,-3.568+2.843i,-3.568-2.843i,-5.3598
1,7.0296,29.334,5.7035,-5.5073,242.01,-3.635+2.9537i,-3.635-2.9537i,-5.3894
1,7.0188,30.295,5.8289,-5.5194,271.86,-3.7049+3.0655i,-3.7049-3.0655i,-5.419
1,7.0138,31.313,5.9591,-5.5316,305.39,-3.7778+3.1786i,-3.7778-3.1786i,-5.4485
1,7.0157,32.39,6.094,-5.5438,343.05,-3.8539+3.2931i,-3.8539-3.2931i,-5.4778
1,7.0259,33.529,6.234,-5.556,385.35,-3.9332+3.409i,-3.9332-3.409i,-5.5068
1,7.0231,34.735,6.379,-5.5682,432.88,-5.5355,-4.0159+3.5266i,-4.0159-3.5266i
1,7.0011,36.011,6.5294,-5.5803,486.26,-5.5638,-4.1021+3.6461i,-4.1021-3.6461i
1,6.9906,37.361,6.6851,-5.5924,546.23,-5.5915,-4.192+3.7674i,-4.192-3.7674i
1,7.0062,38.791,6.8464,-5.6045,613.59,-5.6187,-4.2855+3.8909i,-4.2855-3.8909i
1,7.1156,40.304,7.0134,-5.6165,689.26,-5.6453,-4.383+4.0167i,-4.383-4.0167i
0,55.429,41.905,7.1863,-5.6285,774.26,-5.6712,-4.4844+4.1448i,-4.4844-4.1448i
0,2859.3,43.601,7.3652,-5.6403,869.75,-5.6963,-4.5899+4.2755i,-4.5899-4.2755i
0,32.141,45.396,7.5503,-5.6521,977.01,-4.6997+4.4089i,-4.6997-4.4089i,-5.7206
0,11.872,47.297,7.7418,-5.6637,1097.5,-4.8139+4.5452i,-4.8139-4.5452i,-5.744
